ExpectedQuantile ObservedP
1e-04 8.56218532347031e-06
9e-05 7.64736639256478e-06
8e-05 6.59405142804973e-06
7e-05 5.82258474891341e-06
6e-05 4.98819455040667e-06
5e-05 4.02676055250713e-06
4e-05 3.14067553004593e-06
3e-05 2.40118345881625e-06
2e-05 1.55165414313088e-06
1e-05 8.76669957474213e-07
